Census Year,County,lat,lng,Type of Livestock,VALUE
2000,Louth,53.94861,-6.54139,Total sheep,3300.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1729.8
2000,Louth,53.94861,-6.54139,Total cattle,215.8
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,3060.0
2000,Louth,53.94861,-6.54139,Dairy cows,494.0
2000,Louth,53.94861,-6.54139,Other cows,201.0
2000,Louth,53.94861,-6.54139,Total sheep,727.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2166.5
2000,Louth,53.94861,-6.54139,Total cattle,274.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,98.0
2000,Louth,53.94861,-6.54139,Total sheep,7264.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),899.8
2000,Louth,53.94861,-6.54139,Total cattle,4433.0
2000,Louth,53.94861,-6.54139,Dairy cows,1137.0
2000,Louth,53.94861,-6.54139,Other cows,202.0
2000,Louth,53.94861,-6.54139,Total sheep,973.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),3259.1
2000,Louth,53.94861,-6.54139,Total cattle,2891.0
2000,Louth,53.94861,-6.54139,Dairy cows,704.0
2000,Louth,53.94861,-6.54139,Other cows,475.0
2000,Louth,53.94861,-6.54139,Total sheep,833.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2096.4
2000,Louth,53.94861,-6.54139,Total cattle,3456.0
2000,Louth,53.94861,-6.54139,Dairy cows,425.0
2000,Louth,53.94861,-6.54139,Other cows,529.0
2000,Louth,53.94861,-6.54139,Total sheep,1488.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2604.3
2000,Louth,53.94861,-6.54139,Total cattle,1304.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,189.0
2000,Louth,53.94861,-6.54139,Total sheep,2194.0
